id,attr_id,name,unit
92904bea-e00f-48ae-9403-488b0f7b3bdb,301,"Calcium, Ca",mg
09ec2628-6c48-42ac-b3c7-a6ce53a4686c,205,"Carbohydrate, by difference",g
af9575b8-8158-46b0-8980-2bb3b03df6e9,601,Cholesterol,mg
0fd0c57b-2b41-40a5-9c57-11085f19838c,208,Energy,kcal
0f3cfcbf-1eb2-411c-aec9-a779bced180c,606,"Fatty acids, total saturated",g
66db2a18-bcff-4797-ae0d-65a8a3bc41a1,204,Total fat,g
285681ee-6908-4887-9034-34dc2aab51d4,605,"Fatty acids, total trans",g
42e2a0b2-cbbc-4f7c-a6a4-3bd73c53412f,303,"Iron, Fe",mg
c5ea852b-65b3-43be-8b31-ab0bbabe6814,291,"Fiber, total dietary",g
82277d5b-19e9-4f3c-b2a5-2a7a001682bb,306,"Potassium, K",mg
2c30679f-bf99-469c-9035-f9a973148b57,307,"Sodium, Na",mg
b1ca0be3-46ea-4fc4-9ea4-f6b5460eea17,203,Protein,g
180dd2ef-e910-4e7f-a8ab-cb41474d63b0,269,"Sugars, total",g
6fb27a04-781e-49d5-a0cb-c25d7c78e7df,539,"Sugars, added",g
62fdf1a3-209b-4e74-9ed6-0a2da6df10c0,324,Vitamin D,IU
35435ac0-5216-469c-abe1-bf47088650ea,299,Sugar Alcohol,g
b263a17b-f130-4689-93fc-417b2306b920,1001,Erythritol,g
298693dd-534c-4dcf-8755-f0df1483142e,1006,Allulose,g
d68f7f64-0c63-4e0e-aa3a-93f97ec37b14,1002,Glycerin,g
cc5582a4-d536-43bb-8ddf-8a4a44cb8c9a,290,Xylitol,g
fdec4a36-3c31-43a8-b96b-22aa746b892d,261,Sorbitol,g
986480b6-e2aa-489e-897c-81926320d4e5,260,Mannitol,g
8a8de098-e4af-4280-8121-172da7fa1653,1003,Maltitol,g
195c204c-9a3a-48a9-a4ad-ae9fac6352fa,1004,Isomalt,g
e35581d9-2c00-4182-b305-487e76de5204,1005,Lactitol,g
35159dfe-2b2e-4859-adb8-7d17c2df8ddf,513,Alanine,g
41e2b244-230a-4b54-b4ec-25db26ee7b4c,221,"Alcohol, ethyl",g
8b6a0565-530a-4ae4-8163-201c485620b7,511,Arginine,g
9792947b-cd46-4d9e-b175-4ba09c460d0e,207,Ash,g
db803808-12a1-4e5f-b9dc-a932f5cb6ad6,514,Aspartic acid,g
31a5fc29-515e-4ac6-bc5c-018a5d5460dd,454,Betaine,mg
40eb533c-d9b9-420e-b57f-0d3554c3b7ef,262,Caffeine,mg
e0ac6740-8942-44b5-931d-fb396631ee40,639,Campesterol,mg
5ca3812b-d177-4a3e-8948-e45e1b5f2619,322,"Carotene, alpha",µg
78979ca6-2f2e-449d-901f-03dc233b48d4,321,"Carotene, beta",µg
09b254c2-6196-4d4a-bfb2-3acd9f5fd9f8,326,Vitamin D3 (cholecalciferol),µg
13556c89-cc9c-4503-8254-8b519cfed2bb,421,"Choline, total",mg
32cdc623-d7be-4f06-ab89-f071585d8c1c,334,"Cryptoxanthin, beta",µg
4f2fd50b-0840-451d-a991-f174175bd456,312,"Copper, Cu",mg
01d61688-924e-4a3d-8e39-1caca84e0844,507,Cystine,g
b7ddacdd-33d9-4ffd-bf63-df5bf5a19c23,268,Energy,kJ
eec306a8-2f88-4d65-8c9b-51cd9dcd2d06,325,Vitamin D2 (ergocalciferol),µg
f2bc3b0f-5fed-4037-aede-119755394488,610,10:00,g
bc1ba0b5-0ca3-4096-80d9-563eb1e57d97,611,12:00,g
df660f92-ea89-4a90-b7bf-2bf090b84dad,696,13:00,g
9457e52c-76cc-4391-b0e7-28d028e7dc0d,612,14:00,g
f350a432-e749-4a78-b4ef-a85ed7c6533e,625,14:01,g
213bfe86-6c2b-493f-a03f-a1d4fc58b2a0,652,15:00,g
e6fd620d-1255-4cd2-b8e0-10b3f70c38b1,697,15:01,g
cb760f8b-d0cf-4fce-9f9d-0c60167644ca,613,16:00,g
f9fa052e-ff54-40a0-90cf-f34257baf5f2,626,16:1 undifferentiated,g
e5366684-4dd5-4342-91fa-b9e7602ac195,673,16:1 c,g
43e78938-72f8-4234-bc1d-8722678ca10f,662,16:1 t,g
fd0715b9-c807-4106-bd41-82ad6e59ae24,653,17:00,g
