id,food_id,serving_weight,measure
1,1,15.19,tbsp
2,1,100,g
3,1,243,cup
4,1,5.06,tsp
5,1,182,fl oz
6,1,30.3333,ounce
7,2,89,"cup, chopped"
8,2,70,"cup, shredded"
9,2,640.5,large
10,2,33,"leaf, large"
11,2,100,g
12,2,714,"head, small (about 4-1/2"" dia)"
13,2,79.5,cup
14,2,956.66,head
15,2,908,"head, medium (about 5-3/4"" dia)"
16,2,28.3495,wt. oz
17,2,1248,"head, large (about 7"" dia)"
18,2,453.59,lb
19,2,23,"leaf, medium"
20,2,453.6,lb
21,2,453.592,lb
22,2,956.67,head
23,2,465.5,medium
24,2,15,leaf
25,3,60,ring
26,3,137.5152,cup
27,3,9.0633,tablespoon
28,3,10,tbsp chopped
29,3,38,"slice, large (1/4"" thick)"
30,3,9.065,tablespoon
31,3,100,g
32,3,14,"slice, medium (1/8"" thick)"
33,3,70,small
34,3,28.3495,wt. oz
35,3,160,"cup, chopped"
36,3,137.5075,cup
37,3,115,"cup, sliced"
38,3,9.06,tablespoon
39,3,150,large
40,3,453.59,lb
41,3,137.5067,cup
42,3,27.5,"medium (2-1/2"" dia)"
43,3,9,"slice, thin"
44,3,110,"medium (2-1/2"" dia)"
45,3,3.0267,teaspoon
46,3,137.52,cup
47,3,137.5,cup
48,3,110.0,medium
49,3,3.02,teaspoon
50,3,580.0,quart
51,4,39.5,large
52,4,4,strip medium
53,4,100,g
54,4,72,"large (7-1/4"" to 8-/1/2"" long)"
55,4,122,cup strips or slice
56,4,110,cup grated
57,4,61,medium
58,4,50,"small (5-1/2"" long)"
59,4,3,slice
60,4,28.3495,wt. oz
61,4,453.59,lb
62,4,28.35,ounce
63,4,128,cup chopped
64,4,120.0,cup
65,4,50.0,small
66,4,7.5,tablespoon
67,4,7,"strip large (3"" long)"
68,5,101,cup chopped
69,5,40.3325,stalk
70,5,7.5,tbsp
71,5,100,g
72,5,2.5,tsp
73,5,28.3495,wt. oz
74,5,40.33,stalk
75,5,120,cup
76,5,4,"strip (4"" long)"
77,5,17,"stalk, small (5"" long)"
78,5,101.0,cup
79,5,28.35,ounce
80,5,453.59,lb
81,5,2.3,teaspoon
82,5,40,"stalk, medium (7-1/2"" - 8"" long)"
83,5,6.905,tablespoon
84,5,110,nlea serving
85,5,40.3333,stalk
86,5,40,rib
87,5,40.335,stalk
88,5,64,"stalk, large (11""-12"" long)"
89,5,40.0,"stalk, medium"
90,6,453.5914,lb
91,6,1.0,gram
92,6,200.0,cup
93,6,453.5933,lb
